fid,dist,dtm,cond_1
4218.9,2122.2469068764262,97.9,0.011598868805145095
4219.0,2125.4459223499352,98.2,0.01124780313049722
4219.1,2128.6100494017182,98.4,0.010958420128112838
4219.2,2131.764252946275,98.6,0.010676538221243493
4219.3,2134.9296281214542,98.8,0.010420195982184466
4219.4,2138.083831666011,98.9,0.010240660207781771
4219.5,2141.247958717794,99.1,0.01000060814973661
4219.6,2144.402162262236,99.2,0.009843244056658578
4219.7,2147.566289314134,99.3,0.009681067933282795
4219.8,2150.7204928585757,99.4,0.00953553251069282
4219.9,2153.8846199103587,99.6,0.00932927955746094
4220.0,2157.0388234549155,99.8,0.00914317484176779
4220.1,2160.2085079816943,100.0,0.008960318256238789
4220.2,2163.36675116437,100.2,0.008802648880663864
4220.3,2166.5265612852427,100.4,0.008651877917888072
4220.4,2169.694683757518,100.7,0.008454009658365902
4220.5,2172.8544938783907,100.9,0.008310165592492622
4220.6,2176.02261635081,101.0,0.008228139952479296
4220.7,2179.182426471683,101.2,0.008094547588277032
4220.8,2182.3505489441022,101.3,0.008011133137078328
4220.9,2185.510359064975,101.5,0.007886042327389197
4221.0,2188.6686022475355,101.6,0.007820777071813922
4221.1,2191.87110127158,101.8,0.007698199021907092
4221.2,2195.063733414601,101.9,0.007632363741796287
4221.3,2198.25636555747,102.1,0.007519402703997609
4221.4,2201.4572560585616,102.2,0.007464963574389643
4221.5,2204.6498882014675,102.3,0.007412688784190353
4221.6,2207.8425203443367,102.4,0.007374293329748708
4221.7,2211.0351524873577,102.4,0.007381052499906821
4221.8,2214.237651511517,102.4,0.0073874572091334
4221.9,2217.428670157642,102.4,0.007388868956729966
4222.0,2220.621302300548,102.4,0.007393701594883781
4222.1,2223.864094307519,102.4,0.007379515599685536
4222.2,2227.1068863143746,102.3,0.007403900587705312
4222.3,2230.348274905693,102.3,0.0073786656044677115
4222.4,2233.591066912664,102.2,0.007403353367528471
4222.5,2236.8239603534794,102.2,0.0073649631843118405
4222.6,2240.066752360335,102.2,0.007339902697439641
4222.7,2243.309544367306,102.1,0.007362037031964243
4222.8,2246.5509329586243,102.1,0.007347721125663715
4222.9,2249.79372496548,102.0,0.007385645565827802
4223.0,2253.036516972451,101.9,0.007443340909672366
4223.1,2256.351995821597,101.9,0.007465737957585109
4223.2,2259.668454776621,101.8,0.007540655008062375
4223.3,2262.9739804534893,101.7,0.007617336206480479
4223.4,2266.290439408397,101.6,0.0076987135597678955
4223.5,2269.6059182577487,101.5,0.007769426988780904
4223.6,2272.921397106895,101.4,0.007844767300448145
4223.7,2276.2378560619186,101.2,0.007981339558927365
4223.8,2279.55333491127,101.1,0.008064870913599448
4223.9,2282.869793866178,100.9,0.008218101459266262
4224.0,2286.1852727155297,100.8,0.008324540162176203
4224.1,2289.5395833749376,100.7,0.00845628161103624
4224.2,2292.8944157105,100.5,0.008657696032685784
4224.3,2296.2592336847447,100.3,0.008857379010935503
4224.4,2299.6135443441526,100.1,0.009074295576557234
4224.5,2302.978362318563,100.0,0.009219786862373253
4224.6,2306.332672977971,99.8,0.009429273002495844
4224.7,2309.6875053135336,99.7,0.009568727137768554
4224.8,2313.0518031600213,99.7,0.009652105089414853
4224.9,2316.406635495584,99.6,0.009781289691278925
4225.0,2319.7709333421185,99.7,0.009769070365956298
4225.1,2323.121470612554,99.7,0.009812017269859493
4225.2,2326.482006284118,99.7,0.009832631128684747
4225.3,2329.8425419556993,99.7,0.009862529723297526
4225.4,2333.2030776272636,99.8,0.009809689756182918
4225.5,2336.553614897599,99.8,0.0098196454745994
4225.6,2339.914150569163,99.8,0.009828659627873495
4225.7,2343.27487965672,99.9,0.00975670194783733
4225.8,2346.625416927155,99.9,0.00976184148348519
4225.9,2349.9859525987363,100.0,0.009684562691623572
4226.0,2353.3464882703006,100.0,0.009666786754509509
4226.1,2356.6665033304557,100.0,0.00962162362348788
4226.2,2359.9765033305116,100.0,0.009566734711279156
4226.3,2363.2965183906695,100.0,0.009501521448925809
4226.4,2366.616533450941,100.0,0.009441237022504967
4226.5,2369.936548511096,100.1,0.009311557770635434
4226.6,2373.2565635713677,100.2,0.009184676019379343
4226.7,2376.566563571307,100.3,0.009060088940568251
4226.8,2379.8865786315814,100.6,0.008822818830304818
4226.9,2383.2065936917365,100.9,0.008590003960211673
4227.0,2386.5266087518917,101.2,0.008361596567118717
4227.1,2389.8267451127595,101.5,0.008119096967510587
4227.2,2393.1168818880715,101.9,0.007814620033818463
4227.3,2396.416942493503,102.3,0.007533632021245788
4227.4,2399.717078854371,102.7,0.007254648052521718
4227.5,2403.017215215114,103.0,0.007039073660722497
4227.6,2406.307351990426,103.3,0.006833141991424576
4227.7,2409.607488351294,103.6,0.0066303004262417975
4227.8,2412.9075489567253,103.8,0.006489552428143755
4227.9,2416.207685317593,103.9,0.006408720875284765
4228.0,2419.497822092905,104.1,0.006289269644180173
4228.1,2422.8000031902357,104.2,0.006237992031672352
4228.2,2426.091841582398,104.3,0.006199327855485056
4228.3,2429.3940226798445,104.5,0.006114469916155603
4228.4,2432.6858610719214,104.6,0.006082423456344069
4228.5,2435.9780487944354,104.8,0.00600750150692812
4228.6,2439.280229891766,104.9,0.005977709206980949
4228.7,2442.5720682839283,105.0,0.0059431508785142235
4228.8,2445.8642560064422,105.0,0.005964083191735187
4228.9,2449.1660888307406,105.1,0.005938006000733307
4229.0,2452.4582765532546,105.2,0.005914520495443103
4229.1,2455.756306268103,105.3,0.00588891933301503
4229.2,2459.0543359829,105.3,0.005900141365962492
4229.3,2462.352365697748,105.4,0.00586687406306607
4229.4,2465.6503954126615,105.4,0.005863877348912762
4229.5,2468.94842512751,105.4,0.005865869563769456
4229.6,2472.246454842307,105.4,0.005864294351912667
4229.7,2475.544484557155,105.4,0.0058625596507976795
4229.8,2478.8524899984664,105.3,0.005921036005420971
4229.9,2482.1505197133147,105.2,0.005986476160806477
4230.0,2485.448549428228,105.2,0.006011763990232559
4230.1,2488.7660183428434,105.1,0.006079210932692232
4230.2,2492.082477297867,105.0,0.006151099112733308
4230.3,2495.398936252891,104.8,0.006280150436211855
4230.4,2498.715395207799,104.7,0.006362988903441303
4230.5,2502.0318541628226,104.6,0.0064592596582086406
4230.6,2505.358263638466,104.5,0.006560985197323143
4230.7,2508.6747225934896,104.4,0.00667331772002243
4230.8,2511.9911815484206,104.3,0.00678459240939296
4230.9,2515.3076405033285,104.1,0.006947337026341593
4231.0,2518.6240994583522,104.0,0.007064672190527507
4231.1,2521.9867918320683,103.8,0.007247552259773548
4231.2,2525.349484205676,103.7,0.00738750617840154
