fid,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18,cond_19
2324.6,0.008237999387728031,0.007916162098107683,0.007258509668410749,0.006418090227930678,0.005684731605973427,0.005417042707148572,0.006205993667665032,0.010071583377461743,0.02851721759377247,0.13264903927009242,0.16355624781160333,0.11525743068641311,0.10215020015515976,0.09665629575732365,0.08557326554749241,0.07451392094358805,0.06576002393196835,0.0590034209132164,0.055600102554391975
2324.7,0.007984847052261842,0.0076834551174865175,0.007064861716200898,0.006269490580380577,0.005571351623981238,0.005317855927629342,0.006086586999645455,0.009840379346191749,0.027770302404527412,0.1311522745080017,0.1649968616576057,0.1146888096720644,0.10028992866955277,0.09425426473555992,0.08345216127959487,0.07282095027645723,0.06443529815923534,0.05795146939706357,0.054677533674341895
2324.8,0.007920939170020286,0.007618834416395191,0.006999020968704893,0.006202361842485102,0.005502067282994601,0.00524171453267658,0.005988628901852164,0.009672755933001185,0.027372640412735853,0.13120211071525206,0.16574257142780002,0.11394368617299776,0.09862033393165275,0.09216576769446871,0.08158914951753471,0.07132050467917844,0.06325667703357994,0.05701399428957159,0.053854461672561714
2324.9,0.007842557015092648,0.007542070878249381,0.006925312010957947,0.0061319925264579815,0.005432904884204009,0.005167177158758243,0.005891594878930724,0.009499411971165383,0.026920088126839797,0.13085832196789063,0.1665920016675403,0.11342169771605114,0.09738257746100382,0.09067861914208229,0.08029277201905993,0.07027928105222904,0.06243615717106953,0.0563598870201848,0.053279646965782
2325.0,0.007752285746383578,0.007455074573388148,0.00684441900080274,0.006057750117739524,0.005362255812705025,0.005092085520243313,0.005793076392795762,0.009318470819159524,0.026421866492514785,0.13028261310309472,0.16762221787460432,0.1132600629548305,0.0968166762951033,0.09006534298089487,0.07978255226249807,0.06986770511991683,0.0621096616406214,0.056099160887522447,0.053050432161742885
2325.1,0.007765215467800812,0.007459571981043379,0.006832797884544059,0.006027376182200903,0.00531524157020954,0.005029598944994291,0.005707048520825965,0.009174043154972968,0.026111530559057395,0.13037662913665068,0.16820775210949696,0.11342873873335586,0.09717865752845538,0.09064801130016902,0.08031672849790979,0.07028404315307171,0.062433598876200466,0.05635766599968396,0.053277830605163286
2325.2,0.007739527657293354,0.007430101835918742,0.0067960494968939975,0.005982009216384068,0.005261343826141232,0.004964719634082502,0.00561879080976588,0.009016904375061587,0.025710092905026904,0.12996829874976987,0.16881354198990658,0.11355433212916102,0.09746163916038467,0.09117729261604274,0.08083446920276043,0.07069464434745583,0.06275251321076634,0.05661154995989536,0.05350107819408695
2325.3,0.0075409161995389495,0.007248166969293903,0.006645672542138482,0.0058674106405027454,0.005173765830098258,0.004886356804008281,0.005520088725860336,0.008814654289148205,0.02499261950026219,0.1276929304818375,0.17026503750381344,0.11402888326236205,0.0979636362502695,0.0919657982294949,0.08160701361523641,0.07131647637721088,0.06323783975734414,0.05699758841874994,0.05384034146055023
2325.4,0.007463149405408118,0.00717430517113479,0.006579196738452733,0.005809201920220705,0.0051209244650907695,0.00483167274314474,0.00544753159045968,0.008672439716152293,0.02452824844304332,0.12631026031519033,0.17102955707633602,0.1140827141821999,0.09802800418922185,0.09232195864944155,0.0820526470116631,0.0716895185164127,0.06352615442205596,0.0572255884184389,0.05404069177568136
2325.5,0.007193441867757735,0.0069307033937399155,0.006385589403410655,0.005673387750682936,0.005031063280566606,0.0047639673935946855,0.00536729248939934,0.00848764083608185,0.02373163556159773,0.12258405255646801,0.17252844319607555,0.1139727281449669,0.09762294808543258,0.09224216336154899,0.08220513031237076,0.07183910596150979,0.06363461497326618,0.057309037192881884,0.054114264541185564
